N,m,method_code,restart_length,q,s,zeta,iteration,median_true_relres,min_true_relres,max_true_relres
100,10000,1,0,0,0,0,0,1,1,1
100,10000,1,0,0,0,0,5,0.015912194079616,0.015912194079616,0.015912194079616
100,10000,1,0,0,0,0,10,0.00305830046727356,0.00305830046727356,0.00305830046727356
100,10000,1,0,0,0,0,20,0.00049048560366576,0.00049048560366576,0.00049048560366576
100,10000,1,0,0,0,0,30,0.000152970511771345,0.000152970511771345,0.000152970511771345
100,10000,1,0,0,0,0,50,3.26067733612445e-05,3.26067733612445e-05,3.26067733612445e-05
100,10000,1,0,0,0,0,75,9.90254251407591e-06,9.90254251407591e-06,9.90254251407591e-06
100,10000,1,0,0,0,0,100,4.12695011880551e-06,4.12695011880551e-06,4.12695011880551e-06
100,10000,1,0,0,0,0,125,2.17638904768631e-06,2.17638904768631e-06,2.17638904768631e-06
100,10000,1,0,0,0,0,150,1.23224569320163e-06,1.23224569320163e-06,1.23224569320163e-06
100,10000,1,0,0,0,0,175,5.75749357104917e-07,5.75749357104917e-07,5.75749357104917e-07
100,10000,1,0,0,0,0,200,1.54010518603831e-07,1.54010518603831e-07,1.54010518603831e-07
100,10000,1,0,0,0,0,225,3.21559136479036e-08,3.21559136479036e-08,3.21559136479036e-08
100,10000,1,0,0,0,0,250,7.23070106181679e-09,7.23070106181679e-09,7.23070106181679e-09
100,10000,3,50,0,0,0,0,1,1,1
100,10000,3,50,0,0,0,5,0.015912194079616,0.015912194079616,0.015912194079616
100,10000,3,50,0,0,0,10,0.00305830046727356,0.00305830046727356,0.00305830046727356
100,10000,3,50,0,0,0,20,0.00049048560366576,0.00049048560366576,0.00049048560366576
100,10000,3,50,0,0,0,30,0.000152970511771345,0.000152970511771345,0.000152970511771345
100,10000,3,50,0,0,0,50,3.26067733612445e-05,3.26067733612445e-05,3.26067733612445e-05
100,10000,3,50,0,0,0,75,1.06355339016143e-05,1.06355339016143e-05,1.06355339016143e-05
100,10000,3,50,0,0,0,100,4.26479256779696e-06,4.26479256779696e-06,4.26479256779696e-06
100,10000,3,50,0,0,0,125,2.56776522259655e-06,2.56776522259655e-06,2.56776522259655e-06
100,10000,3,50,0,0,0,150,1.3734818740467e-06,1.3734818740467e-06,1.3734818740467e-06
100,10000,3,50,0,0,0,175,9.09950416577251e-07,9.09950416577251e-07,9.09950416577251e-07
100,10000,3,50,0,0,0,200,4.8567169246835e-07,4.8567169246835e-07,4.8567169246835e-07
100,10000,3,50,0,0,0,225,2.81641710880317e-07,2.81641710880317e-07,2.81641710880317e-07
100,10000,3,50,0,0,0,250,1.7747225017696e-07,1.7747225017696e-07,1.7747225017696e-07
100,10000,2,0,2,502,12,0,1,1,1
100,10000,2,0,2,502,12,5,0.0160086601851816,0.0159180200091833,0.0160765776720524
100,10000,2,0,2,502,12,10,0.00310203210565179,0.00307052346555799,0.00313456491342958
100,10000,2,0,2,502,12,20,0.000500674287692576,0.000499046796285688,0.000506876185011664
100,10000,2,0,2,502,12,30,0.000156927671747763,0.000156326713695848,0.000158305200783575
100,10000,2,0,2,502,12,50,3.41536854384383e-05,3.40359099714512e-05,3.49611489099863e-05
100,10000,2,0,2,502,12,75,1.0717062166647e-05,1.05509650771225e-05,1.09217519218798e-05
100,10000,2,0,2,502,12,100,4.63192448490476e-06,4.50173533098689e-06,4.69985285471809e-06
100,10000,2,0,2,502,12,125,2.48871364115243e-06,2.43364900241777e-06,2.51972138780195e-06
100,10000,2,0,2,502,12,150,1.48075653613726e-06,1.44449968876567e-06,1.49936586992541e-06
100,10000,2,0,2,502,12,175,7.03123167209072e-07,6.81738649281857e-07,7.22765796269662e-07
100,10000,2,0,2,502,12,200,1.9805992850313e-07,1.9336636468291e-07,2.03529216907144e-07
100,10000,2,0,2,502,12,225,4.27221362920766e-08,4.16295295794511e-08,4.45972623742896e-08
100,10000,2,0,2,502,12,250,1.00961613910724e-08,9.8307450770807e-09,1.08138075601681e-08
200,40000,1,0,0,0,0,0,1,1,1
200,40000,1,0,0,0,0,5,0.0159467968628991,0.0159467968628991,0.0159467968628991
200,40000,1,0,0,0,0,10,0.00301683521439754,0.00301683521439754,0.00301683521439754
200,40000,1,0,0,0,0,20,0.000470652284153238,0.000470652284153238,0.000470652284153238
200,40000,1,0,0,0,0,30,0.000151063000777927,0.000151063000777927,0.000151063000777927
200,40000,1,0,0,0,0,50,3.54531992446467e-05,3.54531992446467e-05,3.54531992446467e-05
200,40000,1,0,0,0,0,75,1.11864901847888e-05,1.11864901847888e-05,1.11864901847888e-05
200,40000,1,0,0,0,0,100,4.99802346420511e-06,4.99802346420511e-06,4.99802346420511e-06
200,40000,1,0,0,0,0,125,2.10684861297778e-06,2.10684861297778e-06,2.10684861297778e-06
200,40000,1,0,0,0,0,150,1.15706532858834e-06,1.15706532858834e-06,1.15706532858834e-06
200,40000,1,0,0,0,0,175,7.00210383644588e-07,7.00210383644588e-07,7.00210383644588e-07
200,40000,1,0,0,0,0,200,4.30184859570643e-07,4.30184859570643e-07,4.30184859570643e-07
200,40000,1,0,0,0,0,225,3.18152790448413e-07,3.18152790448413e-07,3.18152790448413e-07
200,40000,1,0,0,0,0,250,2.3610775224064e-07,2.3610775224064e-07,2.3610775224064e-07
200,40000,3,50,0,0,0,0,1,1,1
200,40000,3,50,0,0,0,5,0.0159467968628991,0.0159467968628991,0.0159467968628991
200,40000,3,50,0,0,0,10,0.00301683521439754,0.00301683521439754,0.00301683521439754
200,40000,3,50,0,0,0,20,0.000470652284153238,0.000470652284153238,0.000470652284153238
200,40000,3,50,0,0,0,30,0.000151063000777927,0.000151063000777927,0.000151063000777927
200,40000,3,50,0,0,0,50,3.54531992446467e-05,3.54531992446467e-05,3.54531992446467e-05
200,40000,3,50,0,0,0,75,1.21104535389206e-05,1.21104535389206e-05,1.21104535389206e-05
200,40000,3,50,0,0,0,100,5.16411932692168e-06,5.16411932692168e-06,5.16411932692168e-06
200,40000,3,50,0,0,0,125,2.90769011209658e-06,2.90769011209658e-06,2.90769011209658e-06
200,40000,3,50,0,0,0,150,1.39472195711497e-06,1.39472195711497e-06,1.39472195711497e-06
200,40000,3,50,0,0,0,175,9.1600636979201e-07,9.1600636979201e-07,9.1600636979201e-07
200,40000,3,50,0,0,0,200,5.99163216598306e-07,5.99163216598306e-07,5.99163216598306e-07
200,40000,3,50,0,0,0,225,4.45229658094516e-07,4.45229658094516e-07,4.45229658094516e-07
200,40000,3,50,0,0,0,250,3.40842199694962e-07,3.40842199694962e-07,3.40842199694962e-07
200,40000,2,0,2,502,12,0,1,1,1
200,40000,2,0,2,502,12,5,0.0160245006897986,0.016004614762716,0.0160540485406615
200,40000,2,0,2,502,12,10,0.00305436430085967,0.00304467528109458,0.00306663999479957
200,40000,2,0,2,502,12,20,0.000481981995599086,0.000479973376103309,0.00048239579049069
200,40000,2,0,2,502,12,30,0.000155513622476129,0.000154079231748071,0.000156542136625909
