N,m,method_code,run_id,restart_length,q,s,zeta,actual_iteration,runtime_sec,final_true_relres,reached_target,matlab_solver_flag
100,10000,1,1,0,0,0,0,250,0.54406825,7.23070106181679e-09,1,1
100,10000,1,2,0,0,0,0,250,0.523194166666667,7.23070106181679e-09,1,1
100,10000,1,3,0,0,0,0,250,0.4988465,7.23070106181679e-09,1,1
100,10000,3,1,50,0,0,0,250,0.110766916666667,1.7747225017696e-07,1,1
100,10000,3,2,50,0,0,0,250,0.111721166666667,1.7747225017696e-07,1,1
100,10000,3,3,50,0,0,0,250,0.109578208333333,1.7747225017696e-07,1,1
100,10000,2,1,0,2,502,12,250,0.05777075,1.08138075601681e-08,1,NaN
100,10000,2,2,0,2,502,12,250,0.048029125,1.04016168665502e-08,1,NaN
100,10000,2,3,0,2,502,12,250,0.0484057083333333,1.00599367730001e-08,1,NaN
100,10000,2,4,0,2,502,12,250,0.0284000833333333,9.8307450770807e-09,1,NaN
100,10000,2,5,0,2,502,12,250,0.029193375,1.00961613910724e-08,1,NaN
200,40000,1,1,0,0,0,0,250,4.72750654166667,2.3610775224064e-07,1,1
200,40000,1,2,0,0,0,0,250,4.95594741666667,2.3610775224064e-07,1,1
200,40000,1,3,0,0,0,0,250,4.94797895833333,2.3610775224064e-07,1,1
200,40000,3,1,50,0,0,0,250,0.9393915,3.40842199694962e-07,1,1
200,40000,3,2,50,0,0,0,250,0.878885916666667,3.40842199694962e-07,1,1
200,40000,3,3,50,0,0,0,250,0.881338208333333,3.40842199694962e-07,1,1
200,40000,2,1,0,2,502,12,250,0.134985958333333,3.40018272265844e-07,1,NaN
200,40000,2,2,0,2,502,12,250,0.10591825,3.41914190867804e-07,1,NaN
200,40000,2,3,0,2,502,12,250,0.138597083333333,3.33688093354779e-07,1,NaN
200,40000,2,4,0,2,502,12,250,0.107891875,3.56187850493999e-07,1,NaN
200,40000,2,5,0,2,502,12,250,0.10470075,3.35203272154921e-07,1,NaN
400,160000,1,1,0,0,0,0,250,8.37676829166667,3.08867881833927e-07,1,1
400,160000,1,2,0,0,0,0,250,8.37600033333333,3.08867881833927e-07,1,1
400,160000,1,3,0,0,0,0,250,8.414512625,3.08867881833927e-07,1,1
400,160000,3,1,50,0,0,0,250,1.71026329166667,4.09669562084855e-07,1,1
400,160000,3,2,50,0,0,0,250,1.67760145833333,4.09669562084855e-07,1,1
400,160000,3,3,50,0,0,0,250,1.682391,4.09669562084855e-07,1,1
400,160000,2,1,0,2,502,12,250,0.59101675,4.39556873700487e-07,1,NaN
400,160000,2,2,0,2,502,12,250,0.430414541666667,4.57177042172347e-07,1,NaN
400,160000,2,3,0,2,502,12,250,0.409006,4.3325934585409e-07,1,NaN
400,160000,2,4,0,2,502,12,250,0.399718916666667,4.49887182763015e-07,1,NaN
400,160000,2,5,0,2,502,12,250,0.422918416666667,4.65927839084294e-07,1,NaN
800,640000,1,1,0,0,0,0,250,23.2023814166667,3.23239388041243e-07,1,1
800,640000,1,2,0,0,0,0,250,23.525259625,3.23239388041243e-07,1,1
800,640000,1,3,0,0,0,0,250,22.756141875,3.23239388041243e-07,1,1
800,640000,3,1,50,0,0,0,250,4.800979375,4.97463905879519e-07,1,1
800,640000,3,2,50,0,0,0,250,4.76896904166667,4.97463905879519e-07,1,1
800,640000,3,3,50,0,0,0,250,4.51606108333333,4.97463905879519e-07,1,1
800,640000,2,1,0,2,502,12,250,2.43423204166667,4.68252189244558e-07,1,NaN
800,640000,2,2,0,2,502,12,250,1.97383525,4.44338305198069e-07,1,NaN
800,640000,2,3,0,2,502,12,250,1.73742125,4.56683984809353e-07,1,NaN
800,640000,2,4,0,2,502,12,250,1.859842,4.69475729399566e-07,1,NaN
800,640000,2,5,0,2,502,12,250,1.75492875,4.61745062355352e-07,1,NaN
1000,1000000,1,1,0,0,0,0,250,34.3433011666667,3.21297735940206e-07,1,1
1000,1000000,1,2,0,0,0,0,250,34.5598159583333,3.21297735940206e-07,1,1
1000,1000000,1,3,0,0,0,0,250,35.9125068333333,3.21297735940206e-07,1,1
1000,1000000,3,1,50,0,0,0,250,8.777080375,4.90147047534837e-07,1,1
1000,1000000,3,2,50,0,0,0,250,8.02889441666667,4.90147047534837e-07,1,1
1000,1000000,3,3,50,0,0,0,250,7.93357620833333,4.90147047534837e-07,1,1
1000,1000000,2,1,0,2,502,12,250,3.78711166666667,4.62987972760309e-07,1,NaN
1000,1000000,2,2,0,2,502,12,250,2.66849133333333,4.44826300125371e-07,1,NaN
1000,1000000,2,3,0,2,502,12,250,2.98588283333333,4.6504491706854e-07,1,NaN
1000,1000000,2,4,0,2,502,12,250,2.51767616666667,4.5999396431102e-07,1,NaN
1000,1000000,2,5,0,2,502,12,250,2.52298791666667,4.3682372842833e-07,1,NaN
