N,m,method_code,restart_length,q,s,zeta,number_of_runs,median_runtime_sec,min_runtime_sec,max_runtime_sec,median_final_true_relres,min_final_true_relres,max_final_true_relres,number_reaching_target
100,10000,1,0,0,0,0,3,0.523194166666667,0.4988465,0.54406825,7.23070106181679e-09,7.23070106181679e-09,7.23070106181679e-09,3
100,10000,3,50,0,0,0,3,0.110766916666667,0.109578208333333,0.111721166666667,1.7747225017696e-07,1.7747225017696e-07,1.7747225017696e-07,3
100,10000,2,0,2,502,12,5,0.048029125,0.0284000833333333,0.05777075,1.00961613910724e-08,9.8307450770807e-09,1.08138075601681e-08,5
200,40000,1,0,0,0,0,3,4.94797895833333,4.72750654166667,4.95594741666667,2.3610775224064e-07,2.3610775224064e-07,2.3610775224064e-07,3
200,40000,3,50,0,0,0,3,0.881338208333333,0.878885916666667,0.9393915,3.40842199694962e-07,3.40842199694962e-07,3.40842199694962e-07,3
200,40000,2,0,2,502,12,5,0.107891875,0.10470075,0.138597083333333,3.40018272265844e-07,3.33688093354779e-07,3.56187850493999e-07,5
400,160000,1,0,0,0,0,3,8.37676829166667,8.37600033333333,8.414512625,3.08867881833927e-07,3.08867881833927e-07,3.08867881833927e-07,3
400,160000,3,50,0,0,0,3,1.682391,1.67760145833333,1.71026329166667,4.09669562084855e-07,4.09669562084855e-07,4.09669562084855e-07,3
400,160000,2,0,2,502,12,5,0.422918416666667,0.399718916666667,0.59101675,4.49887182763015e-07,4.3325934585409e-07,4.65927839084294e-07,5
800,640000,1,0,0,0,0,3,23.2023814166667,22.756141875,23.525259625,3.23239388041243e-07,3.23239388041243e-07,3.23239388041243e-07,3
800,640000,3,50,0,0,0,3,4.76896904166667,4.51606108333333,4.800979375,4.97463905879519e-07,4.97463905879519e-07,4.97463905879519e-07,3
800,640000,2,0,2,502,12,5,1.859842,1.73742125,2.43423204166667,4.61745062355352e-07,4.44338305198069e-07,4.69475729399566e-07,5
1000,1000000,1,0,0,0,0,3,34.5598159583333,34.3433011666667,35.9125068333333,3.21297735940206e-07,3.21297735940206e-07,3.21297735940206e-07,3
1000,1000000,3,50,0,0,0,3,8.02889441666667,7.93357620833333,8.777080375,4.90147047534837e-07,4.90147047534837e-07,4.90147047534837e-07,3
1000,1000000,2,0,2,502,12,5,2.66849133333333,2.51767616666667,3.78711166666667,4.5999396431102e-07,4.3682372842833e-07,4.6504491706854e-07,5
