N,method_index,method_id,method_name,iteration,maximum_basis_rank_to_iteration,new_basis_vector_maximum_rank
150,2,fixed,Fixed Tucker-GMRES,0,7,7
150,2,fixed,Fixed Tucker-GMRES,1,16,16
150,2,fixed,Fixed Tucker-GMRES,2,23,23
150,2,fixed,Fixed Tucker-GMRES,3,35,35
150,2,fixed,Fixed Tucker-GMRES,4,52,52
150,3,relaxed,Relaxed Tucker-GMRES,0,7,7
150,3,relaxed,Relaxed Tucker-GMRES,1,16,16
150,3,relaxed,Relaxed Tucker-GMRES,2,17,17
150,3,relaxed,Relaxed Tucker-GMRES,3,17,16
150,3,relaxed,Relaxed Tucker-GMRES,4,20,20
