N,method_index,method_id,method_name,iteration,maximum_basis_rank_to_iteration,new_basis_vector_maximum_rank
150,2,fixed,Fixed Tucker-GMRES,0,7,7
150,2,fixed,Fixed Tucker-GMRES,1,16,16
150,2,fixed,Fixed Tucker-GMRES,2,23,23
150,2,fixed,Fixed Tucker-GMRES,3,35,35
150,2,fixed,Fixed Tucker-GMRES,4,52,52
150,3,relaxed,Relaxed Tucker-GMRES,0,7,7
150,3,relaxed,Relaxed Tucker-GMRES,1,16,16
150,3,relaxed,Relaxed Tucker-GMRES,2,17,17
150,3,relaxed,Relaxed Tucker-GMRES,3,17,16
150,3,relaxed,Relaxed Tucker-GMRES,4,20,20
300,2,fixed,Fixed Tucker-GMRES,0,9,9
300,2,fixed,Fixed Tucker-GMRES,1,19,19
300,2,fixed,Fixed Tucker-GMRES,2,33,33
300,2,fixed,Fixed Tucker-GMRES,3,60,60
300,2,fixed,Fixed Tucker-GMRES,4,86,86
300,3,relaxed,Relaxed Tucker-GMRES,0,9,9
300,3,relaxed,Relaxed Tucker-GMRES,1,19,19
300,3,relaxed,Relaxed Tucker-GMRES,2,21,21
300,3,relaxed,Relaxed Tucker-GMRES,3,21,19
300,3,relaxed,Relaxed Tucker-GMRES,4,21,21
400,2,fixed,Fixed Tucker-GMRES,0,10,10
400,2,fixed,Fixed Tucker-GMRES,1,21,21
400,2,fixed,Fixed Tucker-GMRES,2,40,40
400,2,fixed,Fixed Tucker-GMRES,3,71,71
400,2,fixed,Fixed Tucker-GMRES,4,102,102
400,3,relaxed,Relaxed Tucker-GMRES,0,10,10
400,3,relaxed,Relaxed Tucker-GMRES,1,21,21
400,3,relaxed,Relaxed Tucker-GMRES,2,22,22
400,3,relaxed,Relaxed Tucker-GMRES,3,22,20
400,3,relaxed,Relaxed Tucker-GMRES,4,25,25
