N,layer,timing_block,order_position,method_id,method_name,residual_seed,randomized,completed_iterations,stop_reason,true_relative_residual,independent_preconditioned_relative_residual,computed_internal_relative_residual,maximum_basis_rank,maximum_solution_rank,peak_basis_storage_mib,sketch_matrix_rank,sketch_matrix_condition,basis_orthogonality_error_fro,rank_cap_active,breakdown,memory_limit_active,solver_time_sec,diagnostic_time_sec,wall_time_sec,timing_closure_relative_error,internal_to_independent_residual_ratio
150,accuracy,NaN,NaN,fixed,Fixed Tucker GMRES,NaN,0,100,iteration_limit,1.35306417978885e-05,2.42789244973627e-10,8.29656159206691e-11,106,12,190.650520324707,NaN,NaN,NaN,0,0,0,145.475416916667,0.0540355,145.536957625,5.15690890879558e-05,0.341718661918823
150,accuracy,NaN,NaN,relaxed,Relaxed Tucker GMRES,NaN,0,100,iteration_limit,0.000241380770036527,5.34893136271908e-08,5.33388683507804e-09,60,50,38.7406921386719,NaN,NaN,NaN,0,0,0,20.7891325,0.176160166666667,20.9694185,0.000196754780459392,0.0997187376950488
150,accuracy,NaN,NaN,plain,Plain Tucker sGMRES,101,1,100,iteration_limit,1.35849462714117e-05,2.54314668921388e-10,7.69901614930871e-11,44,12,37.1185073852539,100,1199.39843341628,1.35332873851923e-09,0,0,0,13.4960005833333,2.972761625,16.4687789166667,1.01454597324859e-06,0.302735826523973
150,accuracy,NaN,NaN,plain,Plain Tucker sGMRES,202,1,100,iteration_limit,1.33147733502708e-05,2.5409135021298e-10,6.99649323429322e-11,44,12,37.1185073852539,100,1687.97486447454,1.35332873851923e-09,0,0,0,13.95490275,2.94921508333333,16.9041530833333,2.08528636876928e-06,0.275353459628938
150,accuracy,NaN,NaN,plain,Plain Tucker sGMRES,303,1,100,iteration_limit,1.36031940228222e-05,2.50715349895578e-10,5.43535004967361e-11,44,12,37.1185073852539,100,1544.74190611299,1.35332873851923e-09,0,0,0,12.809335125,2.904048875,15.7133920833333,5.14423193317164e-07,0.216793668673953
150,accuracy,NaN,NaN,plain,Plain Tucker sGMRES,404,1,100,iteration_limit,1.33967936651054e-05,2.51758708641687e-10,7.21425797287763e-11,44,12,37.1185073852539,100,1064.9538109468,1.35332873851923e-09,0,0,0,12.816960875,2.93018183333333,15.7471505833333,5.0009047407475e-07,0.286554455724717
150,accuracy,NaN,NaN,plain,Plain Tucker sGMRES,505,1,100,iteration_limit,1.4245545754347e-05,2.47345912591133e-10,5.32766297314518e-11,44,12,37.1185073852539,100,1784.77799333122,1.35332873851923e-09,0,0,0,12.87319325,2.82848095833333,15.7016824166667,5.22767759282456e-07,0.215393208536739
150,accuracy,NaN,NaN,rhosvd_sgmres,RHOSVD Tucker sGMRES,101,1,100,iteration_limit,1.35745813223337e-05,1.18251092853425e-10,7.69950476928952e-11,52,12,46.3774871826172,100,1199.39869920252,1.00922472109766e-09,0,0,0,16.5145865416667,1.00275245833333,17.5173659166667,1.53657044067217e-06,0.651114893190309
150,accuracy,NaN,NaN,rhosvd_sgmres,RHOSVD Tucker sGMRES,202,1,100,iteration_limit,1.33032766950501e-05,1.17504437026352e-10,6.99461866469142e-11,50,12,45.560173034668,100,1687.97566972492,1.44413987999011e-09,0,0,0,16.799968,0.966814708333333,17.7668448333333,3.4966816327468e-06,0.59526421654382
150,accuracy,NaN,NaN,rhosvd_sgmres,RHOSVD Tucker sGMRES,303,1,100,iteration_limit,1.35935983209117e-05,1.08886259880351e-10,5.43448232662926e-11,49,12,45.3900527954102,100,1544.74328515627,3.43008145832671e-09,0,0,0,15.6827875,0.964603125,16.6474089583333,1.1012724790457e-06,0.49909716180911
