N,method_id,method_name,number_of_runs,median_true_relative_residual,minimum_true_relative_residual,maximum_true_relative_residual,median_maximum_basis_rank,minimum_maximum_basis_rank,maximum_maximum_basis_rank,median_peak_basis_storage_mib,minimum_peak_basis_storage_mib,maximum_peak_basis_storage_mib,median_sketch_matrix_condition
150,fixed,Fixed Tucker GMRES,1,1.35306417978885e-05,1.35306417978885e-05,1.35306417978885e-05,106,106,106,190.650520324707,190.650520324707,190.650520324707,NaN
150,relaxed,Relaxed Tucker GMRES,1,0.000241380770036527,0.000241380770036527,0.000241380770036527,60,60,60,38.7406921386719,38.7406921386719,38.7406921386719,NaN
150,plain,Plain Tucker sGMRES,5,1.35849462714117e-05,1.33147733502708e-05,1.4245545754347e-05,44,44,44,37.1185073852539,37.1185073852539,37.1185073852539,1544.74190611299
150,rhosvd_sgmres,RHOSVD Tucker sGMRES,5,1.35745813223337e-05,1.33032766950501e-05,1.42324007872509e-05,49,49,52,45.6963577270508,45.3900527954102,46.3774871826172,1544.74328515627
200,fixed,Fixed Tucker GMRES,1,2.4315885046627e-05,2.4315885046627e-05,2.4315885046627e-05,118,118,118,270.708763122559,270.708763122559,270.708763122559,NaN
200,relaxed,Relaxed Tucker GMRES,1,0.000368419217519954,0.000368419217519954,0.000368419217519954,64,64,64,51.5406265258789,51.5406265258789,51.5406265258789,NaN
200,plain,Plain Tucker sGMRES,5,2.45626965276221e-05,2.31133058981653e-05,2.53485761319687e-05,46,46,46,43.8169860839844,43.8169860839844,43.8169860839844,1437.65838744604
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,5,2.45197189582682e-05,2.30727911226243e-05,2.53091418339432e-05,53,52,53,52.3894195556641,52.3000259399414,52.6518707275391,1437.6592605323
250,fixed,Fixed Tucker GMRES,1,3.35835248971725e-05,3.35835248971725e-05,3.35835248971725e-05,127,127,127,319.687339782715,319.687339782715,319.687339782715,NaN
250,relaxed,Relaxed Tucker GMRES,1,0.00044254701462563,0.00044254701462563,0.00044254701462563,66,66,66,60.8095779418945,60.8095779418945,60.8095779418945,NaN
250,plain,Plain Tucker sGMRES,5,3.32469220988011e-05,3.2922325452094e-05,3.45734583576431e-05,50,50,50,51.5673828125,51.5673828125,51.5673828125,1356.90647800241
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,5,3.31619896175834e-05,3.28395120450882e-05,3.44934662906617e-05,56,55,57,63.3776168823242,62.9723129272461,63.5466690063477,1356.90563446785
