N,method_id,residual_seed,basis_index,mode_1_rank,mode_2_rank,mode_3_rank,maximum_mode_rank
150,fixed,NaN,1,1,1,1,1
150,fixed,NaN,2,3,3,3,3
150,fixed,NaN,3,6,6,6,6
150,fixed,NaN,4,9,9,9,9
150,fixed,NaN,5,10,10,10,10
150,fixed,NaN,6,12,12,12,12
150,fixed,NaN,7,13,13,13,13
150,fixed,NaN,8,15,15,15,15
150,fixed,NaN,9,15,15,15,15
150,fixed,NaN,10,16,16,16,16
150,fixed,NaN,11,17,17,17,17
150,fixed,NaN,12,17,17,17,17
150,fixed,NaN,13,18,18,18,18
150,fixed,NaN,14,18,18,18,18
150,fixed,NaN,15,19,19,19,19
150,fixed,NaN,16,20,20,20,20
150,fixed,NaN,17,20,20,20,20
150,fixed,NaN,18,20,20,20,20
150,fixed,NaN,19,21,21,21,21
150,fixed,NaN,20,21,21,21,21
150,fixed,NaN,21,22,22,22,22
150,fixed,NaN,22,23,23,22,23
150,fixed,NaN,23,23,23,23,23
150,fixed,NaN,24,23,23,23,23
150,fixed,NaN,25,24,24,24,24
150,fixed,NaN,26,25,25,25,25
150,fixed,NaN,27,25,25,25,25
150,fixed,NaN,28,26,26,26,26
150,fixed,NaN,29,26,26,26,26
150,fixed,NaN,30,27,27,27,27
150,fixed,NaN,31,27,27,27,27
150,fixed,NaN,32,27,27,27,27
150,fixed,NaN,33,29,28,27,29
150,fixed,NaN,34,29,28,28,29
150,fixed,NaN,35,29,28,28,29
150,fixed,NaN,36,30,29,30,30
150,fixed,NaN,37,30,30,30,30
150,fixed,NaN,38,30,31,30,31
150,fixed,NaN,39,31,33,31,33
150,fixed,NaN,40,32,33,31,33
150,fixed,NaN,41,33,35,31,35
150,fixed,NaN,42,33,35,31,35
150,fixed,NaN,43,33,35,31,35
150,fixed,NaN,44,35,37,33,37
150,fixed,NaN,45,36,38,34,38
150,fixed,NaN,46,38,39,36,39
150,fixed,NaN,47,39,40,37,40
150,fixed,NaN,48,41,41,37,41
150,fixed,NaN,49,42,42,38,42
150,fixed,NaN,50,43,42,38,43
150,fixed,NaN,51,45,45,39,45
150,fixed,NaN,52,45,45,39,45
150,fixed,NaN,53,47,48,42,48
150,fixed,NaN,54,47,49,42,49
150,fixed,NaN,55,48,51,43,51
150,fixed,NaN,56,48,52,44,52
150,fixed,NaN,57,50,54,45,54
150,fixed,NaN,58,51,54,45,54
150,fixed,NaN,59,52,55,47,55
150,fixed,NaN,60,54,56,48,56
150,fixed,NaN,61,54,58,49,58
