N,block_index,order_position,method_id,phase,time_sec,percent_of_solver_time
150,1,1,fixed,initial_residual,0.000130916666666667,9.14858090370767e-05
150,1,1,fixed,operator_and_preconditioner,12.4967355416667,8.73283738779197
150,1,1,fixed,residual_sketch,0,0
150,1,1,fixed,orthogonalisation_inner_products,1.09609195833333,0.765959462155255
150,1,1,fixed,tucker_sums_and_rounding,128.108193416666,89.5232212781823
150,1,1,fixed,small_least_squares,0.0102457916666667,0.00715985644697903
150,1,1,fixed,basis_normalisation,0.00411145833333333,0.00287312610016981
150,1,1,fixed,solution_assembly,1.07601620833333,0.751930337540797
150,1,1,fixed,unclassified_solver_overhead,0.308992750000186,0.215927065973456
150,1,2,relaxed,initial_residual,0.0005595,0.0027545709132906
150,1,2,relaxed,operator_and_preconditioner,3.04448979166667,14.9888525932711
150,1,2,relaxed,residual_sketch,0,0
150,1,2,relaxed,orthogonalisation_inner_products,0.367648666666667,1.81003453710469
150,1,2,relaxed,tucker_sums_and_rounding,15.632288375,76.9620140588844
150,1,2,relaxed,small_least_squares,0.010240375,0.050416155703643
150,1,2,relaxed,basis_normalisation,0.00246120833333333,0.0121171990823029
150,1,2,relaxed,solution_assembly,1.05226045833333,5.18056488245011
150,1,2,relaxed,unclassified_solver_overhead,0.201745083333321,0.993246002590449
150,1,3,plain,initial_residual,0.000903375,0.00708857837646838
150,1,3,plain,operator_and_preconditioner,0.225371166666667,1.76843634007227
150,1,3,plain,residual_sketch,2.03940604166667,16.0027558519965
150,1,3,plain,orthogonalisation_inner_products,0.15934675,1.25035774336296
150,1,3,plain,tucker_sums_and_rounding,9.67945791666667,75.9525070806907
150,1,3,plain,small_least_squares,0.0274665416666667,0.215523712007418
150,1,3,plain,basis_normalisation,0.00236366666666667,0.0185471553037359
150,1,3,plain,solution_assembly,0.338355208333333,2.65499644483976
150,1,3,plain,unclassified_solver_overhead,0.271422041666664,2.12978709335018
150,1,4,rhosvd_sgmres,initial_residual,0,0
150,1,4,rhosvd_sgmres,operator_and_preconditioner,0.226715375,1.44823644428513
150,1,4,rhosvd_sgmres,residual_sketch,0.68456675,4.37294786864731
150,1,4,rhosvd_sgmres,orthogonalisation_inner_products,0.0249789166666667,0.159562965041201
150,1,4,rhosvd_sgmres,tucker_sums_and_rounding,10.67830775,68.2120233214986
150,1,4,rhosvd_sgmres,small_least_squares,0.0285060416666667,0.182093907058473
150,1,4,rhosvd_sgmres,basis_normalisation,0.00217445833333333,0.0138902348590731
150,1,4,rhosvd_sgmres,solution_assembly,3.91905395833333,25.0345472581126
150,1,4,rhosvd_sgmres,unclassified_solver_overhead,0.0902796666666692,0.576698000497687
150,2,1,relaxed,initial_residual,0.000189041666666667,0.000946350771928333
150,2,1,relaxed,operator_and_preconditioner,2.95666704166667,14.8012032826078
150,2,1,relaxed,residual_sketch,0,0
150,2,1,relaxed,orthogonalisation_inner_products,0.348026291666666,1.74223469131199
150,2,1,relaxed,tucker_sums_and_rounding,15.39559825,77.0710317206225
150,2,1,relaxed,small_least_squares,0.010748,0.0538049535641299
150,2,1,relaxed,basis_normalisation,0.00235233333333333,0.0117758825611607
150,2,1,relaxed,solution_assembly,1.06121233333333,5.31247490851153
150,2,1,relaxed,unclassified_solver_overhead,0.201062624999995,1.00652821004901
150,2,2,plain,initial_residual,0.000563625,0.00420352169910604
150,2,2,plain,operator_and_preconditioner,0.244164041666667,1.82097821652209
