N,method_id,method_name,residual_seed,arnoldi_iteration,true_relative_residual
150,fixed,Fixed Tucker GMRES,NaN,0,1
150,fixed,Fixed Tucker GMRES,NaN,20,0.000399619961386679
150,fixed,Fixed Tucker GMRES,NaN,40,0.000100285164959646
150,fixed,Fixed Tucker GMRES,NaN,60,4.46553809907067e-05
150,fixed,Fixed Tucker GMRES,NaN,80,2.3676427903713e-05
150,fixed,Fixed Tucker GMRES,NaN,100,1.35306417978885e-05
150,relaxed,Relaxed Tucker GMRES,NaN,0,1
150,relaxed,Relaxed Tucker GMRES,NaN,20,0.000399569540886816
150,relaxed,Relaxed Tucker GMRES,NaN,40,0.000109116942768381
150,relaxed,Relaxed Tucker GMRES,NaN,60,0.000213651351530026
150,relaxed,Relaxed Tucker GMRES,NaN,80,0.000241060487160784
150,relaxed,Relaxed Tucker GMRES,NaN,100,0.000241380770036527
150,plain,Plain Tucker sGMRES,101,0,1
150,plain,Plain Tucker sGMRES,101,20,0.000395055543016744
150,plain,Plain Tucker sGMRES,101,40,9.84637158954054e-05
150,plain,Plain Tucker sGMRES,101,60,4.44996597437169e-05
150,plain,Plain Tucker sGMRES,101,80,2.47383079605405e-05
150,plain,Plain Tucker sGMRES,101,100,1.35849462714117e-05
150,plain,Plain Tucker sGMRES,202,0,1
150,plain,Plain Tucker sGMRES,202,20,0.000390398811421826
150,plain,Plain Tucker sGMRES,202,40,9.85137396582507e-05
150,plain,Plain Tucker sGMRES,202,60,4.6774392908957e-05
150,plain,Plain Tucker sGMRES,202,80,2.48016786013335e-05
150,plain,Plain Tucker sGMRES,202,100,1.33147733502708e-05
150,plain,Plain Tucker sGMRES,303,0,1
150,plain,Plain Tucker sGMRES,303,20,0.000360641572298776
150,plain,Plain Tucker sGMRES,303,40,9.77507563135563e-05
150,plain,Plain Tucker sGMRES,303,60,4.56869752034975e-05
150,plain,Plain Tucker sGMRES,303,80,2.44001523296696e-05
150,plain,Plain Tucker sGMRES,303,100,1.36031940228222e-05
150,plain,Plain Tucker sGMRES,404,0,1
150,plain,Plain Tucker sGMRES,404,20,0.000386436238436537
150,plain,Plain Tucker sGMRES,404,40,9.7325271356724e-05
150,plain,Plain Tucker sGMRES,404,60,4.56193782234766e-05
150,plain,Plain Tucker sGMRES,404,80,2.29614651522307e-05
150,plain,Plain Tucker sGMRES,404,100,1.33967936651054e-05
150,plain,Plain Tucker sGMRES,505,0,1
150,plain,Plain Tucker sGMRES,505,20,0.000408500048749308
150,plain,Plain Tucker sGMRES,505,40,9.97150905981599e-05
150,plain,Plain Tucker sGMRES,505,60,4.42590698180819e-05
150,plain,Plain Tucker sGMRES,505,80,2.49788064638336e-05
150,plain,Plain Tucker sGMRES,505,100,1.4245545754347e-05
150,rhosvd_sgmres,RHOSVD Tucker sGMRES,101,0,1
