N,method_id,residual_seed,completed_iterations,stop_reason,checkpoint_count,checkpoint_iterations_complete,finite_positive_residuals,safe_execution,final_true_relative_residual,reference_true_relative_residual,endpoint_relative_drift,pass
150,fixed,NaN,100,iteration_limit,6,1,1,1,1.35306417978885e-05,1.35306417978885e-05,2.62924584924215e-15,1
150,relaxed,NaN,100,iteration_limit,6,1,1,1,0.000241380770036527,0.000241380770036527,4.49166755214774e-16,1
150,plain,101,100,iteration_limit,6,1,1,1,1.35849462714117e-05,1.35849462714117e-05,1.12231530003637e-15,1
150,plain,202,100,iteration_limit,6,1,1,1,1.33147733502708e-05,1.33147733502708e-05,3.43526532134337e-15,1
150,plain,303,100,iteration_limit,6,1,1,1,1.36031940228222e-05,1.36031940228222e-05,2.24161958213609e-15,1
150,plain,404,100,iteration_limit,6,1,1,1,1.33967936651054e-05,1.33967936651054e-05,5.05812341925107e-16,1
150,plain,505,100,iteration_limit,6,1,1,1,1.4245545754347e-05,1.4245545754347e-05,1.78378483041795e-15,1
150,rhosvd_sgmres,101,100,iteration_limit,6,1,1,1,1.35745813223337e-05,1.35745813223337e-05,8.73578416893784e-16,1
150,rhosvd_sgmres,202,100,iteration_limit,6,1,1,1,1.33032766950501e-05,1.33032766950501e-05,3.43823406820901e-15,1
150,rhosvd_sgmres,303,100,iteration_limit,6,1,1,1,1.35935983209117e-05,1.35935983209117e-05,0,1
150,rhosvd_sgmres,404,100,iteration_limit,6,1,1,1,1.33863031498754e-05,1.33863031498754e-05,2.02483493826971e-15,1
150,rhosvd_sgmres,505,100,iteration_limit,6,1,1,1,1.42324007872509e-05,1.42324007872509e-05,9.52230572947952e-16,1
200,fixed,NaN,100,iteration_limit,6,1,1,1,2.4315885046627e-05,2.4315885046627e-05,1.53272026116767e-15,1
200,relaxed,NaN,100,iteration_limit,6,1,1,1,0.000368419217519954,0.000368419217519954,7.35712281639314e-16,1
200,plain,101,100,iteration_limit,6,1,1,1,2.42172450795112e-05,2.42172450795112e-05,1.25915173262021e-15,1
200,plain,202,100,iteration_limit,6,1,1,1,2.45626965276221e-05,2.45626965276221e-05,1.37938104035404e-16,1
200,plain,303,100,iteration_limit,6,1,1,1,2.53485761319687e-05,2.53485761319687e-05,2.67323243039613e-16,1
200,plain,404,100,iteration_limit,6,1,1,1,2.31133058981653e-05,2.31133058981653e-05,1.75905522331333e-15,1
200,plain,505,100,iteration_limit,6,1,1,1,2.46789336330456e-05,2.46789336330456e-05,4.11865257964034e-16,1
200,rhosvd_sgmres,101,100,iteration_limit,6,1,1,1,2.41789556572979e-05,2.41789556572979e-05,1.9617822092297e-15,1
200,rhosvd_sgmres,202,100,iteration_limit,6,1,1,1,2.45197189582682e-05,2.45197189582682e-05,9.67259150216439e-16,1
200,rhosvd_sgmres,303,100,iteration_limit,6,1,1,1,2.53091418339432e-05,2.53091418339432e-05,1.87417832487015e-15,1
200,rhosvd_sgmres,404,100,iteration_limit,6,1,1,1,2.30727911226243e-05,2.30727911226243e-05,1.61529870751719e-15,1
200,rhosvd_sgmres,505,100,iteration_limit,6,1,1,1,2.4640757537846e-05,2.4640757537846e-05,2.06251681821064e-15,1
250,fixed,NaN,100,iteration_limit,6,1,1,1,3.35835248971725e-05,3.35835248971725e-05,0,1
250,relaxed,NaN,100,iteration_limit,6,1,1,1,0.00044254701462563,0.00044254701462563,0,1
250,plain,101,100,iteration_limit,6,1,1,1,3.45734583576431e-05,3.45734583576431e-05,0,1
250,plain,202,100,iteration_limit,6,1,1,1,3.32504812021977e-05,3.32504812021977e-05,2.03794451479593e-16,1
250,plain,303,100,iteration_limit,6,1,1,1,3.31668395870951e-05,3.31668395870951e-05,1.43015872590697e-15,1
250,plain,404,100,iteration_limit,6,1,1,1,3.32469220988011e-05,3.32469220988011e-05,2.03816267800584e-16,1
250,plain,505,100,iteration_limit,6,1,1,1,3.2922325452094e-05,3.2922325452094e-05,1.44078051580113e-15,1
250,rhosvd_sgmres,101,100,iteration_limit,6,1,1,1,3.44934662906617e-05,3.44934662906617e-05,3.92901282865208e-16,1
250,rhosvd_sgmres,202,100,iteration_limit,6,1,1,1,3.31703090519502e-05,3.31703090519502e-05,6.12861059035204e-16,1
250,rhosvd_sgmres,303,100,iteration_limit,6,1,1,1,3.30854985021745e-05,3.30854985021745e-05,4.0962136795908e-16,1
250,rhosvd_sgmres,404,100,iteration_limit,6,1,1,1,3.31619896175834e-05,3.31619896175834e-05,1.02169134846503e-15,1
250,rhosvd_sgmres,505,100,iteration_limit,6,1,1,1,3.28395120450882e-05,3.28395120450882e-05,1.23806898873479e-15,1
